SKU,Description,CPT,JHB,DBN,"Total Stock","Dealer Price","Retail Price",Manufacturer,"Image URL"
ACB-ISP,"Ubiquiti UISP airCube ISP WiFi Access Point ",17,225,19,261,475,650,Ubiquiti,https://scoop.co.za/download/marketing/images/ACB-ISP.jpg
AF-11,"Ubiquiti UISP airFiber 11GHz Radio ",0,0,0,0,17595,23795,Ubiquiti,https://scoop.co.za/download/marketing/images/AF-11.jpg
AF-11DUPL,"Ubiquiti UISP airFiber 11GHz Low Band Duplexer ",4,2,0,6,3250,4395,Ubiquiti,https://scoop.co.za/download/marketing/images/AF-11DUPL.jpg
AF-11KIT,"Ubiquiti UISP airFiber 11GHz Dish Radio and Duplexer Kit ",0,0,0,0,27295,36975,Ubiquiti,https://scoop.co.za/download/marketing/images/AF-11KIT.jpg
AF-5XHD,"Ubiquiti UISP airFiber 5XHD 5GHz Radio ",29,158,24,211,6795,9195,Ubiquiti,https://scoop.co.za/download/marketing/images/AF-5XHD.jpg
AIR-D523X,"Ubiquiti UISP airFiberX 5GHz 23dBi 45° Slant Dish Antenna ",0,0,0,0,1775,2395,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-D523X.jpg
AIR-D530,"Ubiquiti UISP airMAX 5GHz 30dBi Dish Antenna ",0,0,0,0,2425,3275,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-D530.jpg
AIR-D530LW,"Ubiquiti UISP airMAX 5GHz 30dBi Light Weight Dish Antenna ",10,26,16,52,1725,2350,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-D530LW.jpg
AIR-D530X,"Ubiquiti UISP airFiberX 5GHz 30dBi 45° Slant Dish Antenna ",12,2,4,18,2075,2825,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-D530X.jpg
AIR-D534,"Ubiquiti UISP airMAX 5GHz 34dBi Dish Antenna ",3,21,2,26,5295,7175,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-D534.jpg
AIR-D534X,"Ubiquiti UISP airFiberX 5GHz 34dBi 45° Slant Dish Antenna ",0,0,0,0,5750,7795,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-D534X.jpg
AIR-O510,"Ubiquiti UISP airMAX 5GHz 10dBi Omni Antenna ",4,23,1,28,1950,2650,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-O510.jpg
AIR-O513,"Ubiquiti UISP airMAX 5GHz 13dBi Omni Antenna ",15,26,4,45,2595,3525,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-O513.jpg
AIR-S215,"Ubiquiti UISP airMAX 2GHz 15dBi 120° Sector Antenna ",0,2,1,3,2195,2975,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-S215.jpg
AIR-S516,"Ubiquiti UISP airMAX 5GHz 16dBi 120° Sector Antenna ",0,0,0,0,1325,1795,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-S516.jpg
AIR-S517,"Ubiquiti UISP airMAX 5GHz 17dBi 90° Sector Antenna ",3,21,1,25,1250,1695,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-S517.jpg
AIR-S519,"Ubiquiti UISP airMAX 5GHz 19dBi 120° Sector Antenna ",0,0,0,0,2195,2975,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-S519.jpg
AIR-S520,"Ubiquiti UISP airMAX 5GHz 20dBi 90° Sector Antenna ",0,0,0,0,2195,2975,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-S520.jpg
AIR-S521AC,"Ubiquiti UISP airMAX AC 5GHz 21dBi 60° Sector Antenna ",18,29,4,51,3175,4295,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-S521AC.jpg
AIR-S522AC,"Ubiquiti UISP airMAX AC 5GHz 22dBi 45° Sector Antenna ",0,0,0,0,3195,4325,Ubiquiti,https://scoop.co.za/download/marketing/images/AIR-S522AC.jpg
ANT-4GD,"3G/4G 6dBi Desktop Antenna with SMA Male",38,47,12,97,215,295,"Locally Sourced",https://scoop.co.za/download/marketing/images/ANT-4GD.jpg
ANT-D530PA,"MikroTik mANT30 5.8GHz 30dBi Precision Alignment Dish ",0,0,1,1,3750,5075,MikroTik,https://scoop.co.za/download/marketing/images/ANT-D530PA.jpg
ANT-LORA,"MikroTik LoRa 6.5dBi Antenna Kit ",0,0,0,0,725,995,MikroTik,https://scoop.co.za/download/marketing/images/ANT-LORA.jpg
ANT-MLTE,"MikroTik mANT LTE 5o 5dBi Omni Antenna ",0,0,0,0,275,375,MikroTik,https://scoop.co.za/download/marketing/images/ANT-MLTE.jpg
ANT-O25,"MikroTik Dual Band High Gain Outdoor Whip Antenna ",24,24,3,51,125,175,MikroTik,https://scoop.co.za/download/marketing/images/ANT-O25.jpg
BAT-12V7AH,"12V7Ah Sealed Lead Acid Battery",96,18,2,116,175,250,"Locally Sourced",https://scoop.co.za/download/marketing/images/BAT-12V7AH.jpg
BRA-EC0,"Economy Mast Bracket 38mm",19,208,29,256,50,70,"Locally Sourced",https://scoop.co.za/download/marketing/images/BRA-EC0.jpg
BRA-FM,"Flush Mount Bracket Heavy Duty",67,68,0,135,375,515,"Locally Sourced",https://scoop.co.za/download/marketing/images/BRA-FM.jpg
BRA-GM,"Ground Mount Bracket 1000x50mm",43,35,3,81,215,295,"Locally Sourced",https://scoop.co.za/download/marketing/images/BRA-GM.jpg
BRA-PC,"Parallel Clamp 300mm",47,23,5,75,295,395,"Locally Sourced",https://scoop.co.za/download/marketing/images/BRA-PC.jpg
BRA-S25,"Square Bracket Wall Mount 265mm",28,171,0,199,275,375,"Locally Sourced",https://scoop.co.za/download/marketing/images/BRA-S25.jpg
BRA-S40,"Square Bracket Wall Mount 460mm",15,1,0,16,395,550,"Locally Sourced",https://scoop.co.za/download/marketing/images/BRA-S40.jpg
BRA-S55,"Square Bracket Wall Mount 580mm",51,64,22,137,475,650,"Locally Sourced",https://scoop.co.za/download/marketing/images/BRA-S55.jpg
BRA-T150,"T-Stand off Bracket 150mm",23,28,3,54,150,215,"Locally Sourced",https://scoop.co.za/download/marketing/images/BRA-T150.jpg
BRA-T300,"T-Stand off Bracket 300mm",0,1,6,7,175,250,"Locally Sourced",https://scoop.co.za/download/marketing/images/BRA-T300.jpg
BRA-TL,"Tripod Bracket Wall Mount 470mm",85,265,41,391,195,275,"Locally Sourced",https://scoop.co.za/download/marketing/images/BRA-TL.jpg
BRA-TM,"Tripod Bracket Wall Mount 250mm",313,615,23,951,175,250,"Locally Sourced",https://scoop.co.za/download/marketing/images/BRA-TM.jpg
BRA-TS,"Tripod Bracket Wall Mount 100mm",748,461,13,1222,115,160,"Locally Sourced",https://scoop.co.za/download/marketing/images/BRA-TS.jpg
BRA-WL,"L-Bracket 500x500x50mm",276,187,66,529,215,295,"Locally Sourced",https://scoop.co.za/download/marketing/images/BRA-WL.jpg
